Q-Learning(F1),RNN-Synth(F1),SVD(F1),CFCosineSim(F1),HistoricalRNN(F1),episodes
0.261001521,0,0.736982915,0.390212174,0,2
0.391859382,0,0.719117993,0.252218892,0,3
0.391831286,0,0.427286521,0.207845745,0,4
0.649163726,0,0.475511516,0.501092945,0,5
0.921086309,0.64844398,0.317356643,0.856575989,0.605381364,6
0.86573456,0.670819707,0.325824012,0.875944707,0.609243449,7
0.920049318,0.606275826,0.33372539,0.793868093,0.563147174,8
0.826987312,0.534815007,0.211630006,0.649578271,0.466511803,9
0.943358585,0.647508582,0.22883383,0.610778932,0.442683497,10
0.965307134,0.765538079,0.405382271,0.544874242,0.50404996,11
0.948261456,0.627871262,0.362574216,0.521624298,0.489864616,12
0.959302295,0.708323334,0.359210121,0.569911217,0.383074944,13
0.982552294,0.806678577,0.305740054,0.545050876,0.391179955,14
0.982401434,0.809414182,0.284610722,0.533925298,0.427863804,15
0.966513135,0.878713163,0.284857325,0.521164059,0.415066476,16
0.865979951,0.872972129,0.328074146,0.487207244,0.396030716,17
0.863590017,0.727984636,0.528583293,0.278236421,0.38995239,18
0.937003396,0.544579964,0.61519145,0.303160663,0.476955741,19
0.916723549,0.617574274,0.524295535,0.601524596,0.52224523,20
0.915913981,0.710891574,0.429579133,0.503700839,0.459807764,21
0.99573991,0.810013202,0.365962302,0.508179958,0.496223584,22
0.989247312,0.940018019,0.427541778,0.539925965,0.312261304,23
