Q-Learning,RNN-Synth,SVD,CFCosineSim,RNN-Historical,episodes
30.0192225,0,55.69095683,41.92130113,0,2
19.51473522,0,52.1898787,46.79067802,0,3
20.44977641,0,69.97742176,65.5967772,0,4
26.07736921,0,60.23890853,86.41701674,0,5
31.87689686,576.425354,46.80070639,104.1198332,1521.214911,6
34.13932133,409.5960145,47.05608058,108.0750396,1385.128061,7
30.56571817,405.2496431,46.7976687,102.2432539,1347.922049,8
32.46833515,399.9650605,46.64770746,103.3089035,1321.118021,9
30.28185463,393.5454783,46.7553165,99.8907311,1315.225086,10
27.21923161,360.9922595,45.91523886,93.13362479,1049.996904,11
27.30234003,330.9911299,46.03738976,92.85275817,809.3386881,12
36.8985467,433.5623446,47.14735127,131.7167876,1678.168704,13
38.64748168,438.8642337,47.46494985,132.273248,1776.19754,14
44.36139274,447.2005847,47.41919732,141.4289691,1884.982702,15
38.26949644,440.781019,47.23689079,128.9711695,1831.710652,16
43.8797245,448.9574451,47.02548051,136.7034209,1939.823715,17
27.36191273,279.2937119,87.95645452,110.5936491,1656.614606,18
28.26238775,263.0313637,86.99159098,106.8325503,1666.580856,19
31.46292257,404.1623595,52.964921,125.6773407,1816.307537,20
41.80927682,391.7588274,52.47353816,147.5563152,1624.159339,21
47.45489216,446.8322091,58.81766343,162.3183682,2220.10897,22
6.057769537,47.90148211,34.96075273,46.74617767,239.7049093,23
