Q-Learning,RNN-Synth,SVD,CFCosineSim,RNN-Historical,episodes
526.3561726,0,169.3222027,124.0438535,0,2
617.4452386,0,163.5972207,138.927315,0,3
803.060591,0,220.1518931,185.5714831,0,4
769.9373255,0,262.5181539,224.248595,0,5
863.6318028,0,320.2706847,277.626972,0,6
962.5428417,0,384.269501,322.831188,0,7
944.4203,0,448.1123159,373.1404314,0,8
918.176276,0,491.0467794,422.3682885,0,9
1033.55931,0,535.4851053,438.1444163,0,10
1165.357155,0,621.4215748,524.2821667,0,11
1166.468545,0,679.2944715,566.9093339,0,12
1189.534288,0,716.3981531,588.2018161,0,13
1088.774036,0,786.8707559,644.0838754,0,14
1287.136215,0,854.7740877,704.8202481,0,15
1216.888233,0,893.0402594,711.680522,0,16
1306.659213,0,962.8550322,807.4861784,0,17
1275.088179,0,1008.904539,807.8517213,0,18
1262.047322,0,1040.399024,868.724597,0,19
1257.656419,0,1197.704559,955.194818,0,20
1259.276012,0,1156.916119,979.8307149,0,21
1339.546266,0,1199.807471,993.1069546,0,22
1351.596622,0,1347.892488,1098.674716,0,23
1172.25177,0,1281.417805,1058.887518,0,24
1120.589109,0,1389.722087,1112.105148,0,25
1301.520475,0,1417.61253,1136.129188,0,26
1411.306912,0,1521.767983,1195.572218,0,27
1323.413145,0,1563.363705,1273.843005,0,28
1312.886583,0,1669.048901,1345.918108,0,29
1436.783798,0,1698.781425,1364.924886,0,30
1463.96523,0,1786.288412,1457.597201,0,31
1391.325927,0,1829.838696,1495.497455,0,32
1316.857716,0,1762.177193,1468.646512,0,33
1289.356135,0,1961.768007,1570.043374,0,34
1276.412319,0,2100.806806,1647.895745,0,35
1434.006607,0,2083.662974,1638.556363,0,36
1436.004609,0,2152.997458,1678.965416,0,37
1540.008281,0,2197.315794,1801.218272,0,38
1231.996592,0,2336.334798,1816.373433,0,39
1559.988344,0,2407.626379,1898.085968,0,40
1563.565071,0,2442.610222,1972.165281,0,41
1496.456902,0,2467.693631,1928.375865,0,42
1405.370254,0,2419.255396,1926.974423,0,43
880.7643726,0,1911.177788,1486.130502,0,44
509.9532385,1152.557251,1294.336764,1377.660978,3197.059778,45
483.6111476,963.7482035,1283.395891,1321.803595,2014.974437,46
657.7822921,985.6207609,1324.394044,1553.13816,2180.900335,47
505.3742232,964.4034715,1307.753683,1359.278439,2047.773798,48
569.2347956,966.8542962,1289.937513,1445.896466,2122.672088,49
547.8187158,974.5235689,1310.023352,1355.814616,2108.623762,50
479.1489737,972.0426245,1342.902407,1456.104769,2155.498884,51
585.8529563,981.3661602,1349.336145,1346.567552,2179.576001,52
541.9902503,972.9614062,1358.271043,1420.747951,2186.692673,53
501.8321767,978.6341193,1296.235171,1447.049166,2190.163905,54
527.0962634,958.0778494,1364.841135,1350.296731,2155.298171,55
506.967669,960.5035889,1356.185058,1289.402758,2129.194229,56
657.87271,970.2574241,1342.061367,1435.286593,2225.702585,57
489.0914769,960.9110627,1367.975555,1271.334889,2190.693073,58
526.6502335,947.7505319,1359.309151,1253.069762,2111.532533,59
508.857317,969.8567178,1372.696751,1380.965329,2254.606251,60
561.9779446,970.7252512,1350.132766,1317.020446,2274.146831,61
587.1856546,965.1956201,1334.170384,1427.839682,2295.967868,62
544.0958712,970.0874934,1392.807541,1382.828481,2280.663234,63
702.3465033,963.1883872,1391.072956,1426.772125,2261.166964,64
508.3077734,949.5982246,1427.114038,1240.914969,2179.902437,65
510.3181176,952.1286128,1396.326822,1299.321193,2246.68961,66
719.8262091,962.2407088,1353.9893,1455.784512,2400.515176,67
407.9174099,961.1617808,1355.356539,1223.676164,2278.66559,68
497.8467984,966.0993724,1408.066527,1381.124177,2347.590608,69
528.1885753,960.5261753,1410.115277,1362.851437,2312.926344,70
541.6384201,977.41271,1389.213443,1334.417497,2413.004633,71
666.3889155,960.8030291,1396.480322,1423.01903,2383.678804,72
592.2235014,972.0994797,1399.376472,1385.367004,2472.420828,73
712.3125727,984.6115084,1328.755402,1472.001221,2559.307228,74
596.7847319,955.4459872,1411.127181,1427.945996,2422.506875,75
579.7807102,954.7553177,1410.518818,1264.355866,2368.58683,76
